Name,CustomerType,Address,Contact,Status
newclient,Corporate,"Virginia, USA",newc1@yopmail.com,Active
sssd,Corporate,"Georgia, USA",sdsd@gg.com,Active
vcvcvc,Corporate,"Virginia, USA",ddf@df.com |  +1 534-454-54545,Active
client two,Individual,"Jersey City, NJ, USA",client.two@yopmail.com,Active
client one,Individual,"New Orleans, LA, USA",client.one@yopmail.com |  +1 098-765-4321,Active
test shubham,Corporate,"Florida, USA",shubham1@yopmail.com |  +1 723-279-7989,Active
Corporate Business Name,Corporate,taazaa sector 62,user@example.com |  +1 112-121-21212,Active
Aman Taazaa Client,Corporate,"Hudson, OH 44236, USA",amantaazaa@yopmail.com |  +1 343-q43-2423432,Active
New Client,Corporate,"Las Vegas, NV, USA",newclient@yopmail.com |  +1 123-423-4234234,Active
Shubham New client,Corporate,"Florida, USA",newc@yopmail.com,Active
shujaat,Corporate,"Ddong Ggo Tx, Old Denton Road, Carrollton, TX, USA",shujaat.dd@gmail.com,Active
Shubham Client,Corporate,"New York, NY, USA",shubham@yopmail.com,Active
SABusinessName,Corporate,"Joplin, MO, USA",sabusiness@yopmail.com |  +1 783-473-4444,Active
JSS school,Corporate,"New Jersey, USA",jssschool@yopmail.com |  +1 768-423-4234,Active
jsscontactEight individual,Individual,"Kure Beach, NC, USA",jsscontact8@yopmail.com |  +1 238-748-29734,Active
jacob&Co!@#$,Corporate,"Jacksonville, FL, USA",dfgh@hdhdhd.com,Active
test Client corporate,Corporate,"Test Area North, Idaho, USA",testclientcorporate@yopmail.com |  +1 123-456-687985,Active
Aman Cooperation,Corporate,"Hudson, OH 44236, USA",aman@yopmail.com,Active
Test,Corporate,"Testa Barra Kitchen & Cocktails, Romeo Plank Road, Macomb, MI, USA",test@yopmail.com |  +1 987-564-3567,Deactivate
jehfkwref hgfhewr,Individual,"ilani, Cowlitz Way, Ridgefield, WA, USA",usdue@iueirf.com,Active
individual client lastname,Individual,"Chicago, IL, USA",individual@yopmail.com,Active
wyerwer,Corporate,"FVI School of Nursing and Technology, West Flagler Street, Miami, FL, USA",jhfjf@jjjsjsjs.xcc |  +1 479-832-4234,Deactivate
werqwer qwerqwe,Individual,"Florida, USA",wefew@jjddd.com,Active
Buckeye High School,Corporate,"3084 Columbia Rd, Medina, Ohio 44256, USA",contact@buckeyehighschool.org |  +1 330- 591-5870 ,Active
Taazaa demo,Corporate,"Taaza Indian Cuisine, Memorial Avenue Southwest, Roanoke, VA, USA",taazaa.demo@taazaa.com |  +1 123-123-123123,Active
TaazaaTwooo,Corporate,"New Hampshire, USA",taazaatwo@yopmail.com |  +1 874-872-93423,Active
TuskyHighSchoolll,Corporate,"Lake Tahoe, United States",tuskyhigh@yopmail.com |  +1 234-293-4344,Active
Anshul Individual,Individual,"Portland, OR, USA",anshulclient@yopmail.com,Active
Taazaa,Corporate,noida sec 63,taazaa@yopmail.com |  +1 242-342-3444,Active
